Token,Hypernyms
trump,"['playing_card.n.01', 'suit.n.06', 'brass.n.02', 'sound.v.02', 'beat.v.01', 'move.v.15', 'announce.v.01']"
biden,
president,"['corporate_executive.n.01', 'head_of_state.n.01', 'head_of_state.n.01', 'presiding_officer.n.01', 'academic_administrator.n.01', 'presidency.n.02']"
people,"['group.n.01', 'group.n.01', 'family.n.04', 'group.n.01', 'populate.v.02', 'populate.v.01']"
like,"['kind.n.01', 'kind.n.01', 'desire.v.01', 'see.v.05', 'desire.v.01']"
BONG,"['sound.n.04', 'resound.v.01']"
know,"['knowing.n.01', 'experience.v.01', 'accept.v.01', 'copulate.v.01', 'recognize.v.02', 'distinguish.v.01', 'remember.v.01']"
time,"['case.n.01', 'time_period.n.01', 'time_period.n.01', 'moment.n.01', 'attribute.n.02', 'experience.n.03', 'reading.n.03', 'dimension.n.01', 'rhythmicity.n.01', 'term.n.02', 'quantify.v.02', 'schedule.v.01', 'determine.v.02', 'adjust.v.01', 'adjust.v.01']"
need,"['condition.n.01', 'necessity.n.02', 'psychological_feature.n.01', 'poverty.n.01', 'be.v.01']"
today,"['present.n.01', 'day.n.01']"
right,"['abstraction.n.01', 'position.n.01', 'tract.n.01', 'faction.n.02', 'hand.n.01', 'turn.n.02', 'justice.n.01', 'interest.n.05', 'change.v.01', 'change.v.01', 'change_posture.v.01', 'change_by_reversal.v.01']"
american,"['inhabitant.n.01', 'english.n.01', 'inhabitant.n.01']"
would,
year,"['time_period.n.01', 'time_period.n.01', 'time_period.n.01', 'gathering.n.01']"
america,[]
want,"['poverty.n.01', 'need.n.01', 'necessity.n.02', 'desire.n.01', 'be.v.01', 'search.v.01', 'demand.v.01', 'miss.v.06']"
love,"['emotion.n.01', 'object.n.04', 'lover.n.01', 'sexual_desire.n.01', 'score.n.03', 'sexual_activity.n.01', 'like.v.02', 'love.v.01', 'copulate.v.01']"
back,"['body_part.n.01', 'side.n.05', 'position.n.01', 'football_player.n.01', 'skeletal_structure.n.01', 'protective_covering.n.01', 'cloth_covering.n.01', 'support.n.10', 'position.n.09', 'approve.v.01', 'travel.v.01', 'support.v.01', 'finance.v.01', 'lie.v.01', 'bet.v.02', 'switch.v.04', 'confirm.v.01', 'strengthen.v.02']"
make,"['kind.n.01', 'reordering.n.01', 'change.v.01', 'make.v.03', 'create_by_mental_act.v.01', 'cause.v.01', 'make.v.03', 'get.v.01', 'create.v.05', 'constitute.v.01', 'achieve.v.01', 'become.v.03', 'create_from_raw_material.v.01', 'perform.v.01', 'make.v.03', 'change.v.01', 'act.v.02', 'appoint.v.02', 'score.v.01', 'make.v.03', 'perpetrate.v.01', 'assemble.v.03', 'direct.v.04', 'tidy.v.01', 'head.v.01', 'excrete.v.01', 'change.v.02', 'be.v.01', 'total.v.01', 'amount.v.01', 'constitute.v.01', 'look.v.02', 'pass.v.01', 'reach.v.01', 'create_from_raw_material.v.01', 'create_from_raw_material.v.01', 'persuade.v.02', 'guarantee.v.02', 'act.v.03', 'see.v.05', 'estimate.v.01', 'change.v.01', 'develop.v.13', 'develop.v.14', 'act.v.02', 'excrete.v.01']"
think,"['deliberation.n.02', 'evaluate.v.02', 'expect.v.01', 'imagine.v.01', 'concentrate.v.02', 'think.v.03', 'think.v.03', 'think.v.01', 'think.v.03', 'change.v.01']"
republican,"['politician.n.02', 'advocate.n.01']"
good,"['advantage.n.01', 'morality.n.01', 'quality.n.01', 'artifact.n.01']"
state,"['administrative_district.n.01', 'attribute.n.02', 'government.n.01', 'political_unit.n.01', 'chemical_phenomenon.n.01', 'emotional_state.n.01', 'administrative_district.n.01', 'executive_department.n.01', 'express.v.02', 'propose.v.01', 'denote.v.02']"
never,[]
onedirection,
election,"['vote.n.02', 'choice.n.02', 'status.n.01', 'predestination.n.02']"
first,"['rank.n.02', 'ordinal_number.n.01', 'point.n.06', 'position.n.09', 'honours.n.01', 'gear.n.03']"
vote,"['choice.n.02', 'group_action.n.01', 'franchise.n.03', 'body.n.02', 'numerical_quantity.n.01', 'choose.v.01', 'express.v.04', 'express.v.04', 'vote.v.03']"
Valerio_Scanu,
thing,"['situation.n.01', 'action.n.01', 'abstraction.n.01', 'artifact.n.01', 'happening.n.01', 'concern.n.01', 'statement.n.01', 'entity.n.01', 'attribute.n.02', 'aim.n.02', 'feeling.n.01', 'physical_entity.n.01']"
take,"['income.n.01', 'filming.n.01', 'act.v.01', 'use.v.03', 'change.v.02', 'interpret.v.01', 'transport.v.02', 'use.v.01', 'decide.v.01', 'get.v.01', 'work.v.02', 'think_about.v.01', 'experience.v.03', 'record.v.01', 'undergo.v.01', 'move.v.03', 'accept.v.02', 'receive.v.02', 'necessitate.v.01', 'head.v.01', 'position.v.01', 'become.v.01', 'have.v.02', 'get.v.01', 'buy.v.01', 'buy.v.01', 'sleep_together.v.01', 'affirm.v.02', 'be.v.01', 'be.v.01', 'traverse.v.01', 'win.v.01', 'sicken.v.02']"
last,"['end.n.02', 'rank.n.02', 'activity.n.01', 'end.n.02', 'weight_unit.n.02', 'volume_unit.n.01', 'ending.n.04', 'holding_device.n.01', 'measure.v.03']"
going,"['act.n.02', 'death.n.01', 'accomplishment.n.01', 'act.v.01', 'exit.v.01', 'change_state.v.01', 'be.v.01', 'be.v.03', 'happen.v.01', 'disappear.v.01', 'be.v.01', 'cause_to_be_perceived.v.01', 'end.v.01', 'change.v.02', 'change_state.v.01', 'be.v.03', 'compare.v.02', 'harmonize.v.01', 'be.v.03', 'fit.v.07', 'search.v.04', 'choose.v.01', 'change.v.02']"
party,"['organization.n.01', 'social_gathering.n.01', 'set.n.05', 'affair.n.03', 'person.n.01', 'celebrate.v.02']"
democrat,"['politician.n.02', 'advocate.n.01']"
left,"['position.n.01', 'faction.n.02', 'hand.n.01', 'tract.n.01', 'turn.n.02', 'make.v.02', 'refrain.v.01', 'move.v.03', 'yield.v.01', 'produce.v.03', 'change.v.02', 'pass.v.05', 'give.v.08', 'have.v.09', 'tell.v.02', 'lose.v.05']"
news,"['information.n.01', 'information.n.01', 'broadcast.n.02', 'information.n.01', 'interest.n.03']"
breaking,"['change_of_integrity.n.01', 'end.v.02', 'change_integrity.v.01', 'damage.v.01', 'destroy.v.02', 'separate.v.07', 'disrespect.v.01', 'escape.v.01', 'disperse.v.04', 'express_emotion.v.01', 'end.v.02', 'trespass.v.01', 'domesticate.v.02', 'surpass.v.02', 'tell.v.02', 'become.v.01', 'change.v.02', 'separate.v.08', 'flee.v.01', 'collapse.v.01', 'deaden.v.06', 'change.v.02', 'end.v.01', 'change.v.03', 'discontinue.v.01', 'come_forth.v.02', 'happen.v.01', 'ruin.v.02', 'invalidate.v.01', 'delegate.v.02', 'impoverish.v.01', 'switch.v.03', 'appear.v.02', 'change.v.02', 'dance.v.02', 'change.v.06', 'change.v.01', 'shoot.v.08', 'separate.v.02', 'decay.v.02', 'detach.v.01', 'penetrate.v.01', 'interrupt.v.01', 'interrupt.v.01', 'diphthongize.v.01', 'destroy.v.02', 'solve.v.01', 'switch.v.03', 'happen.v.01', 'change.v.02', 'change_state.v.01', 'decrease.v.01', 'injure.v.01', 'decrease.v.01', 'weaken.v.01']"
thank,['convey.v.01']
donald,
really,[]
follower,"['person.n.01', 'traveler.n.01']"
million,"['large_integer.n.01', 'large_indefinite_quantity.n.01']"
many,[]
help,"['activity.n.01', 'worker.n.01', 'resource.n.02', 'helpfulness.n.01', 'support.v.01', 'better.v.02', 'serve.v.03', 'refrain.v.01', 'provide.v.02', 'promote.v.01', 'exploit.v.01', 'better.v.02']"
house,"['building.n.01', 'dwelling.n.01', 'business.n.01', 'community.n.01', 'audience.n.01', 'legislature.n.01', 'family.n.04', 'play.n.08', 'region.n.01', 'management.n.02', 'unit.n.03', 'building.n.01', 'building.n.01', 'accommodate.v.04', 'shelter.v.01']"
look,"['countenance.n.01', 'sensing.n.02', 'appearance.n.01', 'atmosphere.n.01', 'be.v.01', 'be.v.01', 'examine.v.02', 'lie.v.01', 'care.v.02', 'convey.v.01', 'match.v.01', 'trust.v.01']"
even,"['day.n.04', 'change_surface.v.01', 'change.v.01', 'regularize.v.02']"
every,[]
twitter,"['sound.n.04', 'peep.v.03']"
jackposobiec,
great,['achiever.n.01']
please,"['satisfy.v.02', 'wish.v.02', 'satisfy.v.02']"
work,"['activity.n.01', 'product.n.02', 'occupation.n.01', 'learning.n.01', 'energy.n.01', 'geographic_point.n.01', 'end_product.n.01', 'succeed.v.01', 'transform.v.02', 'work.v.12', 'pass.v.01', 'work.v.01', 'go.v.02', 'move.v.02', 'make.v.03', 'use.v.01', 'fix.v.12', 'be.v.01', 'affect.v.01', 'operate.v.01', 'manage.v.02', 'stimulate.v.06', 'capture.v.02', 'create_from_raw_material.v.01', 'move.v.02', 'manipulate.v.02', 'use.v.01', 'understand.v.01', 'convert.v.02', 'change_state.v.01', 'become.v.01']"
lost,"['people.n.01', 'suffer.v.03', 'put.v.01', 'regress.v.03', 'worsen.v.01']"
well,"['excavation.n.03', 'vessel.n.03', 'source.n.02', 'shaft.n.08', 'compartment.n.02', 'surface.v.01']"
watch,"['timepiece.n.01', 'shift.n.03', 'surveillance.n.01', 'time_period.n.01', 'watchman.n.01', 'rite.n.01', 'check.v.01', 'watch.v.01']"
video,"['visual_communication.n.01', 'recording.n.03', 'visual_communication.n.01', 'broadcasting.n.02']"
said,"['express.v.02', 'assert.v.01', 'speculate.v.02', 'have.v.02', 'request.v.02', 'convey.v.01', 'express.v.02', 'recite.v.02', 'read.v.08']"
joebiden,
national,['person.n.01']
covid,
medium,"['instrumentality.n.03', 'environment.n.02', 'communication.n.01', 'food.n.01', 'liquid.n.01', 'substance.n.01', 'substance.n.01', 'state.n.02', 'psychic.n.01', 'transmission.n.02', 'occupation.n.01']"
catturd2,
still,"['photograph.n.01', 'silence.n.02', 'apparatus.n.01', 'plant.n.01', 'comfort.v.01', 'suppress.v.01', 'comfort.v.01', 'change.v.01']"
troop,"['army_unit.n.01', 'army_unit.n.01', 'unit.n.03', 'crowd.n.01', 'march.v.01', 'march.v.03']"
must,"['necessity.n.02', 'grape_juice.n.01', 'staleness.n.02']"
keep,"['resource.n.01', 'stronghold.n.01', 'cell.n.07', 'act.v.01', 'have.v.01', 'have.v.01', 'record.v.01', 'lodge.v.04', 'prolong.v.02', 'have.v.01', 'stay.v.01', 'inhibit.v.04', 'protect.v.01', 'grow.v.07', 'reserve.v.04', 'store.v.02', 'have.v.01', 'have.v.01', 'confine.v.05', 'cook.v.02']"
remember,"['bequeath.v.01', 'mention.v.01', 'mention.v.01', 'associate.v.01']"
donaldjtrumpjr,
hour,"['time_unit.n.01', 'clock_time.n.01', 'time_period.n.01', 'distance.n.01']"
order,"['command.n.01', 'magnitude.n.01', 'state.n.02', 'arrangement.n.02', 'condition.n.01', 'act.n.01', 'commercial_document.n.01', 'association.n.01', 'rule.n.03', 'status.n.01', 'sect.n.01', 'taxonomic_group.n.01', 'request.n.02', 'artistic_style.n.01', 'organization.n.06', 'request.v.02', 'request.v.01', 'inflict.v.01', 'decide.v.01', 'arrange.v.01', 'arrange.v.01', 'invest.v.04', 'organize.v.02', 'evaluate.v.02']"
call,"['telephone.n.02', 'inclination.n.01', 'utterance.n.01', 'demand.n.01', 'animal_communication.n.01', 'visit.n.01', 'demand.n.01', 'demand.n.01', 'request.n.02', 'instruction.n.04', 'visit.n.04', 'decision.n.01', 'option.n.01', 'label.v.01', 'label.v.01', 'telecommunicate.v.01', 'utter.v.02', 'order.v.01', 'meet.v.02', 'request.v.01', 'read.v.03', 'telecommunicate.v.01', 'utter.v.02', 'postpone.v.01', 'address.v.01', 'stop.v.04', 'demand.v.03', 'play.v.01', 'indicate.v.03', 'guess.v.02', 'ask.v.04', 'challenge.v.01', 'declare.v.04', 'entice.v.01', 'order.v.02', 'request.v.02', 'utter.v.02', 'challenge.v.01', 'see.v.05', 'awaken.v.01']"
patriot,['national.n.01']
woman,"['adult.n.01', 'female.n.02', 'female.n.02', 'cleaner.n.03', 'class.n.03']"
world,"['natural_object.n.01', 'class.n.03', 'experience.n.02', 'people.n.01', 'part.n.03', 'concern.n.01', 'group.n.01', 'homo.n.02']"
week,"['time_period.n.01', 'work_time.n.01', 'time_period.n.01']"
voted,"['choose.v.01', 'express.v.04', 'express.v.04', 'vote.v.03']"
realdonaldtrump,
potus,
come,"['liquid_body_substance.n.01', 'travel.v.01', 'happen.v.01', 'change.v.02', 'originate.v.01', 'exist.v.01', 'be.v.01', 'run.v.03', 'be.v.03', 'travel.v.01', 'be.v.01', 'result.v.01', 'be.v.01', 'become.v.02', 'arrive.v.01', 'become.v.03', 'proceed.v.04', 'experience.v.01', 'rank.v.01']"
life,"['being.n.01', 'experience.n.02', 'being.n.01', 'being.n.01', 'time_period.n.01', 'time_period.n.01', 'time_period.n.01', 'person.n.01', 'animation.n.03', 'living_thing.n.01', 'organic_phenomenon.n.01', 'history.n.02', 'motivation.n.01', 'prison_term.n.01']"
plan,"['idea.n.01', 'arrangement.n.03', 'drawing.n.02', 'intend.v.01', 'think.v.03', 'create_by_mental_act.v.01', 'create_by_mental_act.v.01']"
capitol,['government_building.n.01']
give,"['elasticity.n.01', 'supply.v.01', 'transfer.v.05', 'state.v.01', 'communicate.v.02', 'direct.v.04', 'communicate.v.02', 'make.v.03', 'think.v.03', 'produce.v.02', 'tell.v.02', 'make.v.03', 'pass.v.05', 'utter.v.02', 'release.v.08', 'transfer.v.05', 'use.v.01', 'administer.v.04', 'distribute.v.01', 'communicate.v.02', 'move.v.03', 'provide.v.02', 'give.v.03', 'change.v.02', 'estimate.v.01', 'execute.v.04', 'compensate.v.02', 'show.v.04', 'perform.v.03', 'stretch.v.04', 'toast.v.02', 'accord.v.02', 'express.v.01', 'pledge.v.04', 'submit.v.01', 'lead.v.05', 'permit.v.01', 'inflict.v.01', 'happen.v.01', 'accept.v.03', 'offer.v.02']"
stats,
tweet,"['chirp.n.01', 'sound.v.02', 'grip.v.01']"
hope,"['anticipation.n.01', 'feeling.n.01', 'expectation.n.01', 'person.n.01', 'theological_virtue.n.01', 'wish.v.01', 'desire.v.01', 'plan.v.01']"
stop,"['ending.n.04', 'act.n.02', 'stay.n.01', 'inaction.n.01', 'topographic_point.n.01', 'obstruent.n.01', 'punctuation.n.02', 'knob.n.02', 'mechanical_device.n.01', 'restraint.n.06', 'obstruction.n.01', 'prevent.v.01', 'interrupt.v.01', 'end.v.02', 'defend.v.02', 'catch.v.04', 'obstruct.v.02', 'interrupt.v.04']"
country,"['political_unit.n.01', 'administrative_district.n.01', 'people.n.01', 'geographical_area.n.01', 'region.n.03']"
china,"['porcelain.n.01', 'crockery.n.01']"
white,"['person.n.01', 'achromatic_color.n.01', 'ingredient.n.03', 'man.n.10', 'trouser.n.01', 'discolor.v.03']"
free,"['people.n.01', 'remove.v.01', 'issue.v.02', 'forgive.v.01', 'pass.v.05', 'generate.v.01', 'issue.v.02']"
support,"['activity.n.01', 'aid.n.02', 'influence.n.03', 'operation.n.05', 'validation.n.01', 'resource.n.01', 'supporting_structure.n.01', 'activity.n.01', 'part.n.11', 'device.n.01', 'resource.n.01', 'give.v.03', 'approve.v.01', 'agree.v.01', 'match.v.01', 'argue.v.01', 'act.v.03', 'foster.v.03', 'permit.v.01']"
believe,"['accept.v.01', 'evaluate.v.02', 'expect.v.01', 'believe.v.01', 'credit.v.04']"
could,
follow,"['travel.v.01', 'result.v.01', 'travel.v.01', 'obey.v.01', 'result.v.01', 'imitate.v.01', 'be.v.03', 'choose.v.01', 'imitate.v.01', 'analyze.v.01', 'check.v.01', 'play.v.03', 'originate.v.01', 'act.v.02', 'practice.v.04', 'travel.v.01', 'understand.v.01', 'persevere.v.01']"
report,"['document.n.01', 'informing.n.02', 'news.n.02', 'noise.n.01', 'information.n.01', 'essay.n.01', 'estimate.n.05', 'inform.v.01', 'announce.v.01', 'announce.v.01', 'inform.v.01', 'inform.v.01', 'complain.v.01']"
start,"['beginning.n.01', 'point.n.06', 'turn.n.03', 'reflex.n.01', 'change_of_state.n.01', 'line.n.20', 'signal.n.01', 'advantage.n.01', 'leave.v.01', 'make.v.03', 'begin.v.03', 'move.v.03', 'play.v.01', 'be.v.01', 'act.v.01', 'change_shape.v.01']"
impeachment,['legal_document.n.01']
office,"['place_of_business.n.01', 'administrative_unit.n.01', 'duty.n.02', 'state.n.02', 'staff.n.01', 'rite.n.01', 'occupation.n.01']"
directioners,
nothing,['relative_quantity.n.01']
thought,"['content.n.05', 'higher_cognitive_process.n.01', 'belief.n.01', 'belief.n.01', 'evaluate.v.02', 'expect.v.01', 'imagine.v.01', 'concentrate.v.02', 'think.v.03', 'think.v.03', 'think.v.01', 'think.v.03', 'change.v.01']"
ever,[]
word,"['language_unit.n.01', 'statement.n.01', 'information.n.01', 'order.n.01', 'speech.n.02', 'promise.n.01', 'computer_memory_unit.n.01', 'positive_identification.n.01', 'secret.n.02', 'sacred_text.n.01', 'express.v.01']"
family,"['unit.n.03', 'kin.n.02', 'collection.n.01', 'lineage.n.01', 'relative.n.01', 'taxonomic_group.n.01', 'organized_crime.n.01', 'association.n.01']"
already,[]
message,"['communication.n.02', 'communication.n.02', 'communicate.v.01', 'communicate.v.01', 'communicate.v.05']"
better,"['good.n.03', 'gambler.n.01', 'superior.n.01', 'good.n.03', 'surpass.v.02', 'change.v.01', 'change_state.v.01']"
political,[]
everyone,
business,"['enterprise.n.02', 'commerce.n.01', 'activity.n.01', 'concern.n.04', 'aim.n.02', 'business_activity.n.01', 'sector.n.02', 'people.n.01', 'acting.n.01']"
mask,"['covering.n.02', 'disguise.n.02', 'concealment.n.03', 'party.n.02', 'protective_covering.n.01', 'disguise.v.01', 'cover.v.01', 'hide.v.01', 'cover.v.01', 'cover.v.01']"
show,"['entertainment.n.01', 'demonstration.n.05', 'social_event.n.01', 'pretense.n.01', 'show.v.04', 'confirm.v.01', 'inform.v.01', 'represent.v.09', 'convey.v.01', 'inform.v.01', 'appear.v.02', 'indicate.v.03', 'read.v.08', 'lead.v.01', 'race.v.02']"
anyone,
teenchoice,
choicefandom,
police,"['force.n.04', 'law_enforcement_agency.n.01', 'guard.v.01']"
senate,"['legislature.n.01', 'senate.n.01']"
told,"['express.v.02', 'inform.v.01', 'inform.v.01', 'request.v.02', 'guess.v.04', 'affirm.v.02', 'inform.v.03', 'identify.v.01']"
much,['large_indefinite_quantity.n.01']
senator,['legislator.n.01']
voting,"['choice.n.02', 'choose.v.01', 'express.v.04', 'express.v.04', 'vote.v.03']"
friend,"['person.n.01', 'associate.n.01', 'person.n.01', 'advocate.n.01', 'christian.n.01']"
name,"['language_unit.n.01', 'repute.n.01', 'family.n.04', 'important_person.n.01', 'sanction.n.04', 'defamation.n.01', 'label.v.01', 'denote.v.02', 'appoint.v.02', 'establish.v.02', 'specify.v.02', 'think_of.v.04', 'enumerate.v.01', 'analyze.v.01']"
death,"['change.n.01', 'organic_phenomenon.n.01', 'state.n.02', 'end.n.02', 'end.n.02', 'state.n.02', 'killing.n.02']"
done,"['carry_through.v.01', 'proceed.v.04', 'make.v.03', 'satisfy.v.01', 'create.v.05', 'spend.v.01', 'groom.v.03', 'travel.v.01']"
feel,"['awareness.n.01', 'atmosphere.n.01', 'property.n.02', 'foreplay.n.01', 'reason.v.01', 'perceive.v.01', 'be.v.01', 'think.v.01', 'experience.v.01', 'look.v.02', 'search.v.01', 'touch.v.01', 'find.v.03', 'look.v.02', 'touch.v.01']"
laurenboebert,
guard,"['defender.n.01', 'lineman.n.01', 'device.n.01', 'position.n.04', 'basketball_player.n.01', 'military_unit.n.01', 'measure.n.01', 'assignment.n.01', 'lineman.n.04', 'position.n.09', 'watch.v.02', 'protect.v.01', 'protect.v.01', 'act.v.01']"
thanks,"['acknowledgment.n.03', 'aid.n.02', 'convey.v.01']"
also,[]
fuck,"['sexual_intercourse.n.01', 'copulate.v.01']"
someone,"['causal_agent.n.01', 'organism.n.01']"
best,"['attempt.n.01', 'person.n.01', 'beat.v.01']"
find,"['insight.n.03', 'act.n.02', 'spy.v.03', 'get.v.01', 'reason.v.01', 'experience.v.01', 'get.v.01', 'gestate.v.01', 'learn.v.02', 'get.v.01', 'pronounce.v.02', 'change.v.02', 'perceive.v.01', 'get.v.01', 'reach.v.01', 'mature.v.01']"
mean,"['average.n.01', 'convey.v.01', 'necessitate.v.02', 'associate.v.01', 'intend.v.02']"
month,"['time_period.n.01', 'time_unit.n.01']"
hard,[]
real,"['complex_number.n.01', 'brazilian_monetary_unit.n.01', 'coin.n.01']"
full,"['phase_of_the_moon.n.01', 'beat.v.03', 'change.v.01', 'increase.v.01']"
pelosi,
long,['desire.v.01']
